text,philosopher,work,original_idx
"Nevertheless space is so thought (for all the parts of space, even to infinity, are simultaneous).",Kant,Critique Of Pure Reason,255335
"This docs not, however, mean that what presences is, or is only, an object dependent on the subjectivity of the seer.",Heidegger,Off The Beaten Track,247342
"and what is disclosed in it are able to give the whole of Dasein in a way that is phe nomenally equiprimordial, so that our search for totality can be ful filled in this givenness.",Heidegger,Being And Time,236291
"Why is it that during eclipses of the sun, if one views them through a sieve or a leaf for example, that of a plane tree or any other broad leaved tree or through the two hands with the fingers interlaced, the rays are crescent shaped in the direction of the earth?.",Aristotle,Aristotle - Complete Works,68366
"According to the familiar rules of synthetic method, the antithesis just set forth is supposed to be resolved through a synthesis of what is conditioned with the condition thereof, in such a way that the two would be posited as one and the same.",Fichte,The System Of Ethics,263315
We know which processes to include just because somehow we already know which processes are ones by which someone might see.,Lewis,Lewis - Papers,157787
And here we have cases where it is disputed whether these ideas have not actually been verified.,Moore,Philosophical Studies,136327
"Someone might argue against the necessity of identity by claiming that only the self identity of is necessary, while the identity of and is contingent.",Kripke,Philosophical Troubles,179999
"And do you feel no shame in delivering up your own mind to any reviler, to be disconcerted and confounded?.",Epictetus,Enchiridion,326238
"Nonetheless, so many factors converge to thwart woman's independence that they are never all abolished simultaneously; physical weakness is no longer an issue; but feminine subordination remains useful to society in cases where the woman is married.",Beauvoir,The Second Sex,346350
"For these reasons, philosophy alolle is in a position to consider this majesty of the monarch by means of thought, for every method of enquiry other than the speculative method of the infinite and self.",Hegel,Elements Of The Philosophy Of Right,289297
"Depression forces Dasein back to its thrownness, but in such a way that its thrownness is precisely closed off.",Heidegger,Being And Time,239268
"There are some who maintain that the substantial form produces forms and the accidental form accidents, others that forms produce other forms and accidents, and others, finally, that accidents alone are capable of producing accidents and even forms.",Malebranche,The Search After Truth,128436
The bare appeal to logical derivations to be discovered in the future can be disregarded.,Popper,The Logic Of Scientific Discovery,167437
"These two everyday modes of being I. v of discourse and sight are not only objectively present side by side in their uprooting tendency, but one way of being drags the other with it.",Heidegger,Being And Time,235949
Every flower is composed only of rarefied material when concoction first begins; and so the flower generally precedes the fruit in plants.,Aristotle,Aristotle - Complete Works,65869
But why should I not on the contrary have called the sentence Bring me a slab a lengthening of the sentence Slabl Because if you shout Slab!.,Wittgenstein,Philosophical Investigations,138932
